place,movie_title,rating,year,star_cast
118,Die Hard,8.21780947960812,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
119,Snatch,8.217531477759355,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Indiana Jones and the Last Crusade,8.21699816788439,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
121,Ladri di biciclette,8.216347067566291,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
122,Taare Zameen Par,8.212968714478386,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
123,1917,8.211186338923845,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Der Untergang,8.203268721641146,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Dangal,8.199874314381415,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
126,Per qualche dollaro in più,8.199463118869526,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman Begins,8.197717202209589,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.19161324722688,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.190942732839652,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.181222300715683,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.180521722718904,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,The Wolf of Wall Street,8.177183167260962,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
133,Green Book,8.177140612786832,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
